# Config Source Mapping for desk-api
# =============================================================================
#
# Traces every JSON config file in desk-api back to its source in the original
# Polopoly/Gong/ADM codebase.
#
# Format (pipe-delimited):
#   type|source_base|source_path|dest_tier|dest_subdir|external_id
#
# Column definitions:
#   type         - Extraction method:
#                    xml-cdata  = JSON embedded in XML <component> element (with or without CDATA wrapper)
#                    json-ref   = XML references a separate JSON/JSON5 file via <file> or file= attribute
#                    json       = Direct JSON file copy (no XML wrapper)
#                    manual     = No source; manually created for desk-api
#
#   source_base  - Source codebase shorthand:
#                    gong-desk            = ../gong/desk/content/src/main/content
#                    gong-common          = ../gong/content/common/src/main/content
#                    adm-starterkit       = ../adm-starterkit/content/custom-content/src/main/content
#                    adm-starterkit-pseries = ../adm-starterkit/content/custom-pseries-content/src/main/content
#                    none                 = No external source
#
#   source_path  - Relative path within source_base to the primary source file
#                  (the XML containing the <externalid> tag, or the JSON file itself)
#
#   dest_tier    - Target tier: defaults | flavor/pseries
#
#   dest_subdir  - Subdirectory under the tier
#
#   external_id  - External ID = output filename without .json5 extension
#
# Notes:
#   - "xml-cdata" covers both <![CDATA[{...}]]> and bare inline JSON in <component> elements
#   - "json-ref" sources have companion JSON/JSON5 files relative to the XML location
#   - For desk locale files, the XML references .json5 files in a locales/ subdirectory
#   - For custom locale files, the XML parent content has <file> elements referencing locale/*.json
#   - For form-templates from dam-json-template-list.xml, external IDs come from <externalid> in the XML
#     (e.g. atex.onecms.Template-com.atex.onecms.app.dam.image.DamImageBean), NOT from the JSON filename
#   - Some files exist in multiple sources (gong-desk, adm-starterkit); the first source listed is
#     the primary/original, the second is the starterkit override layer
#   - Entries are sorted by dest_tier, then dest_subdir, then external_id
#
# Generated: 2026-02-27
# =============================================================================
#
# type|source_base|source_path|dest_tier|dest_subdir|external_id
#
# --- defaults/audioai ---
json-ref|gong-desk|dam-json-template-list.xml + files/damProcessorsListTemplate.json|defaults|form-templates|atex.onecms.Template-com.atex.onecms.app.dam.camel.configuration.DamProcessorsListBean
json-ref|gong-desk|dam-json-template-list.xml + files/damProcessorsListTemplate.view.json|defaults|form-templates|atex.onecms.Template-com.atex.onecms.app.dam.camel.configuration.DamProcessorsListBean.view
json-ref|gong-desk|dam-json-template-list.xml + files/damRenderTemplateListTemplate.edit.json|defaults|form-templates|atex.onecms.Template-com.atex.onecms.app.dam.render.template.RenderTemplateListBean.edit
json-ref|gong-desk|dam-json-template-list.xml + files/damRenderTemplateListTemplate.view.json|defaults|form-templates|atex.onecms.Template-com.atex.onecms.app.dam.render.template.RenderTemplateListBean.view
json-ref|gong-desk|dam-json-template-list.xml + files/damRouteConfigurationTemplate.json|defaults|form-templates|atex.onecms.Template-com.atex.onecms.app.dam.camel.configuration.DamRouteConfigurationBean
json-ref|gong-desk|dam-json-template-list.xml + files/damRouteConfigurationTemplate.security.parent.json|defaults|form-templates|atex.onecms.Template-com.atex.onecms.app.dam.camel.configuration.DamRouteConfigurationBean.security.parent
json-ref|gong-desk|dam-json-template-list.xml + files/damRouteConfigurationTemplate.view.json|defaults|form-templates|atex.onecms.Template-com.atex.onecms.app.dam.camel.configuration.DamRouteConfigurationBean.view
json-ref|gong-desk|dam-json-template-list.xml + files/damRoutesListTemplate.json|defaults|form-templates|atex.onecms.Template-com.atex.onecms.app.dam.camel.configuration.DamRoutesListBean
json-ref|gong-desk|dam-json-template-list.xml + files/damRoutesListTemplate.view.json|defaults|form-templates|atex.onecms.Template-com.atex.onecms.app.dam.camel.configuration.DamRoutesListBean.view
json-ref|gong-desk|dam-json-template-list.xml + files/damSendContentTemplate.json|defaults|form-templates|atex.onecms.Template-com.atex.onecms.app.dam.sendcontent.DamSendContentBean
json-ref|gong-desk|dam-json-template-list.xml + files/damSendContentTemplate.view.json|defaults|form-templates|atex.onecms.Template-com.atex.onecms.app.dam.sendcontent.DamSendContentBean.view
json-ref|gong-desk|dam-json-template-list.xml + files/damTaskTemplate.json|defaults|form-templates|atex.onecms.Template-atex.Planning
json-ref|gong-desk|dam-json-template-list.xml + files/damTaskTemplate.view.json|defaults|form-templates|atex.onecms.Template-atex.Planning.view
json-ref|gong-desk|dam-json-template-list.xml + files/damThirdPartiesCfgTemplate.json|defaults|form-templates|atex.onecms.Template-com.atex.onecms.app.dam.cfg.ThirdPartiesCfgBean
json-ref|gong-desk|dam-json-template-list.xml + files/damWireArticleTemplate.json|defaults|form-templates|atex.onecms.Template-com.atex.onecms.app.dam.template.DamWireArticle
json-ref|gong-desk|dam-json-template-list.xml + files/damWireArticleTemplate.view.json|defaults|form-templates|atex.onecms.Template-com.atex.onecms.app.dam.template.DamWireArticle.view
json-ref|gong-desk|dam-json-template-list.xml + files/damWireGraphicTemplate.json|defaults|form-templates|atex.onecms.Template-com.atex.onecms.app.dam.template.DamWireGraphic
json-ref|gong-desk|dam-json-template-list.xml + files/damWireGraphicTemplate.view.json|defaults|form-templates|atex.onecms.Template-com.atex.onecms.app.dam.template.DamWireGraphic.view
json-ref|gong-desk|dam-json-template-list.xml + files/damWireImageTemplate.json|defaults|form-templates|atex.onecms.Template-com.atex.onecms.app.dam.template.DamWireImage
json-ref|gong-desk|dam-json-template-list.xml + files/damWireImageTemplate.view.json|defaults|form-templates|atex.onecms.Template-com.atex.onecms.app.dam.template.DamWireImage.view
#
# --- defaults/gallery-configurations ---
xml-cdata|gong-desk|gallery-configurations/gallery-configurations-conf.xml|defaults|gallery-configurations|dam.galleryconfigurations.conf
#
# --- defaults/image-service ---
xml-cdata|gong-common|content/image-service/com.atex.onecms.image.ImageFormatConfigurationContent.xml|defaults|image-service|com.atex.onecms.image.ImageFormatConfigurationContent
#
# --- defaults/importer ---
xml-cdata|gong-desk|importer/com.atex.onecms.dam.bean-importer.Configuration.xml|defaults|importer|com.atex.onecms.dam.beanImporter.Configuration
#
# --- defaults/index ---
xml-cdata|gong-desk|index/desk.content.indexing.indexComposer.xml|defaults|index|desk.content.indexing.indexComposer
xml-cdata|gong-desk|index/desk.content.indexing.liveblog-indexcomposer.xml|defaults|index|desk.content.indexing.liveblog.indexComposer
#
# --- defaults/localization/desk ---
# Desk locale: XML references .json5 files in locales/ subdirectory
json-ref|gong-common|content/localization/desk/atex.onecms.desk.locale-de.xml|defaults|localization/desk|atex.onecms.desk.locale.de
json-ref|gong-common|content/localization/desk/atex.onecms.desk.locale-dk.xml|defaults|localization/desk|atex.onecms.desk.locale.dk
json-ref|gong-common|content/localization/desk/atex.onecms.desk.locale-en.xml|defaults|localization/desk|atex.onecms.desk.locale.en
json-ref|gong-common|content/localization/desk/atex.onecms.desk.locale-es.xml|defaults|localization/desk|atex.onecms.desk.locale.es
json-ref|gong-common|content/localization/desk/atex.onecms.desk.locale-it.xml|defaults|localization/desk|atex.onecms.desk.locale.it
json-ref|gong-common|content/localization/desk/atex.onecms.desk.locale-nl.xml|defaults|localization/desk|atex.onecms.desk.locale.nl
json-ref|gong-common|content/localization/desk/atex.onecms.desk.locale-no.xml|defaults|localization/desk|atex.onecms.desk.locale.no
json-ref|gong-common|content/localization/desk/atex.onecms.desk.locale-sv.xml|defaults|localization/desk|atex.onecms.desk.locale.sv
json-ref|gong-common|content/localization/desk/atex.onecms.desk.locale-tr.xml|defaults|localization/desk|atex.onecms.desk.locale.tr
json-ref|gong-common|content/localization/desk/atex.onecms.desk.locale-vi.xml|defaults|localization/desk|atex.onecms.desk.locale.vi
#
# --- defaults/localization/locale ---
# Custom locale: Parent XML (atex.onecms.custom-locale-imports.xml) has <file> elements
# referencing individual locale/*.json files. In desk-api, each is a separate content item.
json|gong-common|content/localization/locale/locale-de.json|defaults|localization/locale|atex.onecms.custom.locale.de
json|gong-common|content/localization/locale/locale-dk.json|defaults|localization/locale|atex.onecms.custom.locale.dk
json|gong-common|content/localization/locale/locale-en.json|defaults|localization/locale|atex.onecms.custom.locale.en
json|gong-common|content/localization/locale/locale-es.json|defaults|localization/locale|atex.onecms.custom.locale.es
json|gong-common|content/localization/locale/locale-it.json|defaults|localization/locale|atex.onecms.custom.locale.it
json|gong-common|content/localization/locale/locale-nl.json|defaults|localization/locale|atex.onecms.custom.locale.nl
json|gong-common|content/localization/locale/locale-no.json|defaults|localization/locale|atex.onecms.custom.locale.no
json|gong-common|content/localization/locale/locale-sv.json|defaults|localization/locale|atex.onecms.custom.locale.sv
json|gong-common|content/localization/locale/locale-tr.json|defaults|localization/locale|atex.onecms.custom.locale.tr
json|gong-common|content/localization/locale/locale-vi.json|defaults|localization/locale|atex.onecms.custom.locale.vi
#
# --- defaults/mail-service ---
xml-cdata|gong-common|content/mail-service/com.atex.onecms.mail-service.Configuration.xml|defaults|mail-service|com.atex.onecms.mail-service.Configuration
#
# --- defaults/markas ---
xml-cdata|gong-desk|markas/color-coding-conf.xml|defaults|markas|dam.colorcoding.conf
xml-cdata|gong-desk|markas/icon-coding-conf.xml|defaults|markas|dam.iconcoding.conf
xml-cdata|gong-desk|markas/multi-icon-coding-conf.xml|defaults|markas|dam.multiiconcoding.conf
#
# --- defaults/partition ---
xml-cdata|gong-desk|partition/partitions-conf.xml|defaults|partition|dam.partitions.conf
#
# --- defaults/permissions ---
xml-cdata|gong-common|content/permissions/com.atex.onecms.permission.PermissionConfigurationContent.xml|defaults|permissions|com.atex.onecms.permission.PermissionConfigurationContent
#
# --- defaults/processors-list ---
xml-cdata|gong-desk|processors-list/processors-list-conf.xml|defaults|processors-list|dam.processors.list.conf
xml-cdata|gong-desk|processors-list/4-processor-configuration-desk-folder.conf.xml|defaults|processors-list|processor.configuration.desk.folder.conf
xml-cdata|gong-desk|processors-list/2-processor-configuration-image.conf.xml|defaults|processors-list|processor.configuration.image.conf
xml-cdata|gong-desk|processors-list/1-processor-configuration-json.conf.xml|defaults|processors-list|processor.configuration.json.conf
xml-cdata|gong-desk|processors-list/5-processor-configuration-rss-feed.conf.xml|defaults|processors-list|processor.configuration.rss.feed.conf
xml-cdata|gong-desk|processors-list/0-processor-configuration-unzip.conf.xml|defaults|processors-list|processor.configuration.unzip.conf
xml-cdata|gong-desk|processors-list/6-processor-configuration-video-importer.conf.xml|defaults|processors-list|processor.configuration.video.conf
xml-cdata|gong-desk|processors-list/3-processor-configuration-xsl.conf.xml|defaults|processors-list|processor.configuration.xsl.conf
#
# --- defaults/publish ---
xml-cdata|gong-desk|publish/ace-publish-configuration.xml|defaults|publish|com.atex.onecms.ace.publish.Configuration
xml-cdata|gong-desk|publish/com.atex.onecms.dam.bean-publisher.Configuration.xml|defaults|publish|com.atex.onecms.dam.beanPublisher.Configuration
